Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_usd,sector
07/09/2016,Zilingo,eCommerce,"Online Fashion Retailer","Bangalore/ Bangkok","Venturra Capital, Sequoia India, Susquehanna International Group. Wavemaker Partners, Beenext, Beenos, Digital Garage",Equity,8000000,E-Commerce
07/09/2016,Alternacare,"Consumer Internet","Online Doctor Consulting platform",Delhi,"Eros Labs","Seed Funding",500000,Other
07/09/2016,Simplilearn,Education,"Online Certification programs",Bangalore,"InnoVen Capital India",Equity,6000000,Education
07/09/2016,Prozo,eCommerce,"Study Material Marketplace",Gurugram,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki","Seed Funding",315000,E-Commerce
08/09/2016,TopRankers,Education,"Online Test Preparation platform",Bangalore,"CareerNet Consulting Pvt. Ltd Ideation Initiative Pvt. Ltd","Seed Funding",670000,Education
08/09/2016,BuildTraders,eCommerce,"Online Construction Materials Marketplace",Bangalore,"Idein Ventures","Seed Funding",200000,E-Commerce
09/09/2016,BYJUs,Education,"Online Learning App",Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Equity,50000000,Education
10/09/2016,CureInstant,"Consumer Internet","Social Health Networking Platform",Delhi,"Dr. Rameshwar Kumar","Seed Funding",150000,Other
10/09/2016,Poshtic,"Consumer Internet","Online health & Wellness platform",Noida,"havya Sharma, Amit Nagar","Seed Funding",450000,Other
12/09/2016,PurpleStyleLabs,"Consumer Internet","Personal Styling Online platform",Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan","Seed Funding",448000,Other
12/09/2016,Inuxu,Technology,"Online Advertising Solutions",Pune,"Fork Media",Equity,3000000,Technology
12/09/2016,Nykaa,eCommerce,"Online Beauty products eTailer",Mumbai,"Sunil Munjal, Mariwala family",Equity,12300000,E-Commerce
12/09/2016,GlamStudios,"Consumer Internet","Beauty Salon Aggregator",Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal","Seed Funding",300000,Other
13/09/2016,NearBuy,"Consumer Internet","Online Deals & Discount platform",Gurugram,"BlackSoil Capital Pvt. Ltd.",Equity,2500000,Other
14/09/2016,Flocareer,"Consumer Internet","Jobs & Skill Validation platform",Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others","Seed Funding",150000,Other
15/09/2016,infeedo,"Consumer Internet","Employee engagement platform",Gurugram,"Dheeraj Jain Palash Jain Anupam Mittal Ameera Shah Vivek Bhargava Rahul Singh Ambarish Gupta","Seed Funding",200000,Other
15/09/2016,Furlenco,eCommerce,"Online furniture rental startup",Bangalore,"Lightbox Ventures and others",Equity,5000000,E-Commerce
15/09/2016,GoPigeon,"Consumer Internet","on demand logistics service provider",Bangalore,"Nexus Venture Partners",Equity,1500000,Other
16/09/2016,NewsDistill,"Consumer Internet","City based News Aggregator App",Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem","Seed Funding",100000,Other
16/09/2016,DoctorInsta,"Consumer Internet","Online Doctor Consultations",Gurugram,"RoundGlass Partners",Equity,1000000,Other
19/09/2016,Milofy,"Consumer Internet","Couple Socialization App",Bangalore,"Accel Partners","Seed Funding",750000,Other
19/09/2016,Swiggy,"Consumer Internet","Online Food Ordering & Delivery",Bangalore,"Bessemer Venture Partners",Equity,15000000,Other
20/09/2016,JustLikeNew,eCommerce,"Online gadget Repair Services Marketplace",Hyderabad,LetsVenture,"Seed Funding",500000,E-Commerce
21/09/2016,CoLife,"Consumer Internet","shared living and working spaces platform",Bangalore,"Undisclosed Investors","Seed Funding",1000000,Other
21/09/2016,Pepperfry,eCommerce,"Furniture eTailer",Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Equity,31300000,E-Commerce
21/09/2016,eQuickies,eCommerce,"Online Book etailer",Ahemdabad,"Lothal Angel Ventures","Seed Funding",298000,E-Commerce
21/09/2016,KhelNow,"Consumer Internet","Mobile based social networking platform",Delhi,"Anglian Omega Network","Seed Funding",350000,Other
22/09/2016,Gadgetwood,"Consumer Internet","On Demand Gadget repair services platform",Delhi,"Carpediem Capital",Equity,6000000,Other
22/09/2016,FlixyGames,Technology,"Mobile Game Publisher for Indian audience",Bangalore,"Rebright Partners","Seed Funding",425000,Technology
22/09/2016,HashTaag,Technology,"Mobile App Development company",Bangalore,"Undisclosed investors","Seed Funding",1000000,Technology
22/09/2016,PharmaRack,Technology,"SAAS application for Pharma Industry",Pune,"Currae Healthtech Fund, Unicorn India Ventures",Equity,745000,Technology
23/09/2016,CloudCherry,Technology,"CRM SAAS Platform",Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Equity,6000000,Technology
27/09/2016,TinyStep,"Consumer Internet","Parenting Network Platform",Bangalore,"Flipkart Logistics Pvt. Ltd",Equity,1580000,Other
28/09/2016,Beardo,eCommerce,"Mens Grooming products etailer",Ahemdabad,"Venture Catalysts","Seed Funding",500000,E-Commerce
28/09/2016,Instacar,"Consumer Internet","Out Station Taxi Rental Platform",Indore,"Swastika Co Ltd.","Seed Funding",1000000,Other
28/09/2016,CelesCare,"Consumer Internet","Virtual Health Clinic for Women",Hyderabad,"Endiya Partners","Seed Funding",1000000,Other
28/09/2016,Druva,Technology,"Cloud Based Data Protection Solution",Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Equity,51000000,Technology
29/09/2016,Promon,eCommerce,"Local Commerce Platform",Delhi,"Now Capital","Seed Funding",180000,E-Commerce
29/09/2016,Unocoin,"Consumer Internet","Bitcoin Wallet",Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Equity,1500000,Other
30/09/2016,Zeta,Technology,"Enterprise Cloud Solutions",Mumbai,"Bhavin Turakhia",Equity,19000000,Technology
01/08/2016,HealthKart,eCommerce,"Online Pharmacy & Health Marketplace",Gurugram,"Sequoia Capital India, Omidyar Network, Kae Capital",Equity,12000000,E-Commerce
01/08/2016,Medinfi,"Consumer Internet","Doctor & Clinic Discovery Platform",Bangalore,"Mudit Saxena, Evan Lim","Seed Funding",200000,Other
01/08/2016,RepairEasy,"Consumer Internet","Gadget Repair Services Platform",Pune,"Undisclosed HNIs","Seed Funding",275000,Other
01/08/2016,Voonik,eCommerce,"Online Womens Fashion Marketplace",Bangalore,"InnoVen Capital",Equity,3000000,E-Commerce
01/08/2016,Tokri,"Consumer Internet","Hyperlocal Grocery Delivery platform",Pune,"Syska LED group",Equity,2500000,Other
02/08/2016,Sheroes,"Consumer Internet","Online Job and Career Platform for Women",Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Equity,1800000,Other
02/08/2016,Yumlane,"Food & Beverage","Retail Food & Snack Offline centres",Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain","Seed Funding",1000000,"Food and Beverages"
03/08/2016,ExtraCarbon,"Consumer Internet","Waste Recycle Management platform",Gurugram,"Brand Capital","Seed Funding",225000,Other
03/08/2016,FlickBay,"Consumer Internet","Mobile Based Bollywood Discovery platform",Mumbai,"Paul Roy","Seed Funding",890000,Other
04/08/2016,Petoo,"Consumer Internet","Food Delivery Platform",Bangalore,"Existing Investors","Seed Funding",500000,Other
06/08/2016,VSTTravels,Technology,"Travel Ticket Booking Software",Kerala,"Promatus Group","Seed Funding",27000,Technology
08/08/2016,WeflyIndoorSkydiving,Others,"Indoor Skydiving Sports Provider",Mumbai,"Swastika Company Ltd.","Seed Funding",40000,Other
08/08/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurugram,"Undisclosed Investors","Seed Funding",445000,E-Commerce
08/08/2016,Zipgrid,"Consumer Internet","Community services platform",Mumbai,"1Crowd (through crowd funding)","Seed Funding",200000,Other
10/08/2016,Vebbler,"Consumer Internet","Photo Sharing Mobile App",Bangalore,"Anupam Mittal, Sharad Sharma & 14 others","Seed Funding",500000,Other
10/08/2016,BombayShavingCompany,eCommerce,"Mens Grooming Product etailer",Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others","Seed Funding",600000,E-Commerce
11/08/2016,Travelyaari,"Consumer Internet","Online ticket booking platform",Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Equity,7000000,Other
11/08/2016,Genextstudents,"Consumer Internet","Online Tutoring Service provider",Mumbai,"1Crowd (through crowdfunding)","Seed Funding",209000,Other
11/08/2016,Zenoti,Technology,"Cloud Based Software Solutions Provider",Hyderabad,"Norwest Venture Partners, Accel India",Equity,15000000,Technology
12/08/2016,Crofarm,Technology,"Agri Tech supply chain Solution provider",Gurugram,"Mukul Singhal Rohit Jain Himanshu Aggrawal Sunil Goyal Ashish Gupta",Equity,1500000,Technology
12/08/2016,Faircent,"Consumer Internet","peer to peer lending platform",Gurugram,"Brand Capital",Equity,1500000,Other
12/08/2016,Innovaccer,Technology,"Integrated Enterprise Analytics Platform",Noida,"Westbridge Capital Partners",Equity,15600000,Technology
12/08/2016,Cuberoot,Technology,"Data Analytics & Audience Management Platform",Gurugram,"Undisclosed Investors","Seed Funding",500000,Technology
16/08/2016,OyoRooms,"Consumer Internet","Budget Hotels Aggregator",Delhi,"SoftBank Group",Equity,62000000,Other
16/08/2016,Hike,"Consumer Internet","Mobile Messaging App",Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Equity,175000000,Other
16/08/2016,Joolz,eCommerce,"Online Jewellery Store",Mumbai,"Powerhouse Ventures, M&S Partners",Equity,500000,E-Commerce
16/08/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahemdabad,"Brand Capital",Equity,1500000,E-Commerce
16/08/2016,Makkajai,Technology,"Online & Mobile learning for kids",Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd","Seed Funding",250000,Technology
17/08/2016,MaalGaadi,Logistics,"Online Logistics Marketplace",Indore,"Swan Angel Network,Sachin Khandelwal and others","Seed Funding",375000,"Transportation and Logistics"
17/08/2016,Appknox,Technology,"Mobile security solutions",Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Equity,675000,Technology
19/08/2016,Quikr,"Consumer Internet","Classified Listings platform",Mumbai,"Brand Capital",Equity,20000000,Other
19/08/2016,Digio,Technology,"Aadhar based Document Signing platform",Bangalore,Rainmatter,Equity,375000,Technology
22/08/2016,PuroWellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,"Torrent Group",Equity,37000000,Healthcare
23/08/2016,Notesgen,"Consumer Internet","Online Notes Sharing Portal",Delhi,"Riju Gupta, Kamal Chabra","Seed Funding",100000,Other
23/08/2016,Octo.ai,Technology,"Artificial Intelligence based marketing platform",Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal","Seed Funding",200000,Technology
24/08/2016,UnaAcademy,"Consumer Internet","Free Interactive education platform",Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian",Equity,1000000,Other
24/08/2016,Advenio,Technology,"Clinical Imaging Solution Provider",Chandigarh,"Kalaari Capital","Seed Funding",100000,Technology
24/08/2016,Guarented,eCommerce,"Home Furnishing rental marketplace",Bangalore,"Kalaari Capital","Seed Funding",500000,E-Commerce
24/08/2016,UberDreams,eCommerce,"Dreams fulfilling marketplace",Mumbai,"Mohit Lalvani","Seed Funding",500000,E-Commerce
24/08/2016,Convegenius,Education,"Edutainment platform",Noida,"Michael and Susan Dell Foundation",Equity,900000,Education
24/08/2016,UrbanLadder,eCommerce,"Online Furniture Store",Mumbai,"Trifecta Capital",Equity,3000000,E-Commerce
25/08/2016,Cult,Healthcare,"Health and Fitness Centres",Bangalore,CureFit,Equity,3000000,Healthcare
25/08/2016,ZoomCar,"Consumer Internet","Self driven car booking platform",Bangalore,"Ford Smart Mobility Llc",Equity,24000000,Other
26/08/2016,Plix,"Consumer Internet","Photo and Video Sharing App",Gurugram,Instalabs,"Seed Funding",500000,Other
26/08/2016,Mobikwik,"Consumer Internet","Digital Wallet platform",Gurugram,"Net1 UEPS Technologies Inc",Equity,40000000,Other
26/08/2016,MyDidi,"Consumer Internet","on demand, hyper local Cleaning services provider",Mumbai,"Undisclosed Ex Mckinsey Directors and Partners","Seed Funding",550000,Other
29/08/2016,LoanTap,"Consumer Internet","Lending platform for Salaried professionals",Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Equity,3000000,Other
29/08/2016,Runnr,"Consumer Internet","hyperlocal Logistics services provider",Bangalore,"Nexus Venture Partners, Blume Ventures",Equity,7000000,Other
29/08/2016,NotionPress,"Consumer Internet","Self Publishing books platform",Chennai,"Undisclosed HNI investors",Equity,1000000,Other
29/08/2016,LivSpace,"Consumer Internet","Online portal for Home Design",Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Equity,15000000,Other
30/08/2016,iAugmentorLabs,Technology,"Assessment & Learning Platform",Gurugram,"Rajasthan Angel Investor Network & Others","Seed Funding",149000,Technology
30/08/2016,DayBox,"Consumer Internet","Fruit & Vegetable Delivery platform",Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others","Seed Funding",104000,Other
30/08/2016,Paytm,eCommerce,"Mobile Wallet & ECommerce platform",Bangalore,"MediaTek Inc.",Equity,60000000,E-Commerce
30/08/2016,CropIn,Technology,"Agriculture Technology Solutions",Bangalore,"Sophia Investment ApS",Equity,2000000,Technology
30/08/2016,Canvera,"Consumer Internet","Photographer Discovery & Information platform",Bangalore,"Info Edge (India) Ltd",Equity,3000000,Other
31/08/2016,Flyrobe,eCommerce,"Online fashion rental platform",Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Equity,5300000,E-Commerce
01/07/2016,VentureCatalysts,"Consumer Internet","Seed Investment & Innovation Platform",Mumbai,"Zaffiro Ventures","Seed Funding",500000,Other
02/07/2016,Playment,"Consumer Internet","Mobile Marketplace for Crowdsourced Work",Bangalore,"SAIF Partners",Equity,700000,Other
04/07/2016,Curefit,"Consumer Internet","Online Preventive Healthcare Platform",Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Equity,15000000,Other
04/07/2016,StitchWood,eCommerce,"Custom Furniture Online",Mumbai,"Deepak Gupta","Seed Funding",200000,E-Commerce
04/07/2016,Grab,Logistics,"hyperlocal logistics service",Mumbai,"Aramex Ventures Llc",Equity,2000000,"Transportation and Logistics"
04/07/2016,NeoGrowth,Finance,"SME Lending platform",Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Equity,16000000,Finance
05/07/2016,SeeDoc,"Consumer Internet","Video Based Doctor Consulting platform App",Gurugram,"YourNest Angel Fund & Others",Equity,1000000,Other
05/07/2016,BookMyShow,"Consumer Internet","Event & Movie Ticketing platform",Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Equity,82000000,Other
05/07/2016,Flyrobe,eCommerce,"Online fashion rental platform",Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain","Seed Funding",1700000,E-Commerce
06/07/2016,HappilyUnmarried,eCommerce,"Online Merchandize etailer",Delhi,"Info Edge (India) Ltd",Equity,740000,E-Commerce
06/07/2016,DontScratchYourHead,Technology,"Full Stack Offline & Online ERP Solution",Ahemdabad,"Gaurav Singhvi, Zaffiro Ventures","Seed Funding",250000,Technology
06/07/2016,WeddingWishlist,"Consumer Internet","Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin","Seed Funding",297000,Other
07/07/2016,AppDaily,Technology,"Mobile Security App development & Distribution",Mumbai,"Kalaari Capital Qualcomm Ventures ru-Net Zodius Technology Opportunities Fund",Equity,2000000,Technology
07/07/2016,Adytude,"Consumer Internet","Gamified Consumer Insights Portal",Delhi,"Indian Angel Network",Equity,1000000,Other
08/07/2016,HolaChef,"Consumer Internet","Online Food Ordering & Delivery Platform",Mumbai,"Kalaari Capital, India Quotient",Equity,1950000,Other
11/07/2016,Purplle,eCommerce,"Beauty Products Marketplace",Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Equity,6000000,E-Commerce
11/07/2016,TrakNTell,Technology,"Car Tracking & Safety System",Gurugram,"Brian Acton",Equity,3500000,Technology
11/07/2016,Overcart,eCommerce,"Unboxed & refurbished electronic products marketplace",Gurugram,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Equity,3000000,E-Commerce
12/07/2016,SirionLabs,Technology,"SAAS based Service Agreement Management",Gurugram,"Sequoia Capital",Equity,12250000,Technology
13/07/2016,YAAP,"Consumer Internet","Online Content Discovery, Creation & Distribution Platform",Delhi,"Rainmaker Ventures",Equity,5000000,Other
13/07/2016,Twigly,"Consumer Internet","Online Food Ordering & Delivery Startup",Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia","Seed Funding",600000,Other
13/07/2016,ShareChat,"Consumer Internet","Vernacular Language Content Creation & Sharing App",Bangalore,"SAIF Partners, India Quotient",Equity,1350000,Other
13/07/2016,RentMojo,"Consumer Internet","Online Furniture Renting Platform",Bangalore,"Accel Partners, IDG Ventures India",Equity,5000000,Other
14/07/2016,Augrav,eCommerce,"Personalized precious Jewellery etailer",Coimbatore,"Keiretsu Forum","Seed Funding",450000,E-Commerce
14/07/2016,ShoppinPal,Technology,"M Commerce Solutions for Retail Stores",Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Equity,1070000,Technology
15/07/2016,WorkApps,Technology,"Enterprise Work Management Software",Pune,"SRI Capital","Seed Funding",1000000,Technology
15/07/2016,BankerBay,"Consumer Internet","Online Investment Banking platform",Bangalore,"undisclosed investors",Equity,2000000,Other
15/07/2016,TripShelf,eCommerce,"Travel Package Marketplace",Delhi,"GEMS group","Seed Funding",250000,E-Commerce
15/07/2016,Ridlr,"Consumer Internet","Public Transport Mobile App",Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Equity,6000000,Other
18/07/2016,Yellowdig,"Consumer Internet","Online Learning Platform",Pune,"SRI Capital","Seed Funding",650000,Other
18/07/2016,Zuppler,"Consumer Internet","Online Food Ordering platform",Delhi,"SRI Capital","Seed Funding",650000,Other
18/07/2016,BlueStone,eCommerce,"Jewellery Etailer",Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Equity,30000000,E-Commerce
19/07/2016,Sagacito,Technology,"Cloud Based Enterprise Solutions",Delhi,"Star India Pvt. Ltd",Equity,10000000,Technology
19/07/2016,Deal4Loans/Wishfin,"Consumer Internet","Loans Comparison platform     (adsbygoogle = window.adsbygoogle || []).push({});",Noida,"Franklin Templeton International Services Pvt. Ltd",Equity,15000000,Other
19/07/2016,NiYOSolutions,Technology,"Payroll & Benefits Software solutions",Bangalore,"Prime Venture Partners",Equity,1000000,Technology
19/07/2016,AppLop,"Consumer Internet","Mobile Apps SaaS Platform",Gurugram,"Green House Ventures Accelerator","Seed Funding",250000,Other
20/07/2016,Tax2Win,"Consumer Internet","Online Tax Filing Portal",Jaipur,"Undisclosed Investors",Equity,1000000,Other
20/07/2016,Truckola,Logistics,"Tech focused cargo transport startup",Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta","Seed Funding",595000,"Transportation and Logistics"
21/07/2016,MyTaxiIndia,"Consumer Internet","Online Car rental booking platform",Delhi,"Nihon Kotsu Co",Equity,1000000,Other
21/07/2016,Wiwigo,"Consumer Internet","Inter City Taxi Booking platform",Bangalore,"Indian Angel Network","Seed Funding",595000,Other
02/06/2016,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,"Parampara Capital",Equity,1000000,Technology
02/06/2016,Limo,"Consumer Internet","Bus Aggregator Mobile app",Mumbai,"Rainmaker Ventures",Equity,1000000,Other
03/06/2016,GoGoTruck,"Consumer Internet","Truck Aggregator & Booking platform",Chennai,"Undisclosed Investor","Seed Funding",75000,Other
03/06/2016,VyomeBiosciences,Healthcare,"Treatment Development for Antibiotic resistant diseases",Delhi,"Romulus Capital",Equity,2000000,Healthcare
06/06/2016,SillyMonks,"Consumer Internet","Digital Media and Entertainment Startup",Hyderabad,"Sreenivasa Reddy Musani","Seed Funding",448000,Other
07/06/2016,CueMath,Education,"K 12 Maths Learning Courses",Bangalore,"Sequoia Capital, Unitus Seed Fund",Equity,4000000,Education
07/06/2016,KrazyBee,"Consumer Internet","Student Micro Loan platform",Bangalore,"Yeahmobi, Fenqile",Equity,2000000,Other
07/06/2016,Intgrea,Technology,"Post merger Integration Partners",Bangalore,"Undisclosed Investor","Seed Funding",100000,Technology
07/06/2016,HelpShift,Technology,"Mobile CRM Platform",Pune,"Microsoft Ventures, Salesforce Ventures",Equity,23000000,Technology
07/06/2016,CreditVidya,Technology,"Credit Scoring Platform",Mumbai,"Kalaari Capital",Equity,1000000,Technology
08/06/2016,GreyCampus,"Consumer Internet","Online Learning Platform",Hyderabad,"Sarath Sura","Seed Funding",1000000,Other
08/06/2016,ListUp,eCommerce,"Location based Classified Mobile app",Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon","Seed Funding",500000,E-Commerce
08/06/2016,6Degree,Technology,"Tech enabled Fashion Talent platform",Mumbai,"Indian Angel Network","Seed Funding",200000,Technology
08/06/2016,StoreKing,eCommerce,"Connecting Small Town Consumers to E Commerce",Bangalore,"Axiata Digital",Equity,16000000,E-Commerce
08/06/2016,MySeniorDoctor,"Consumer Internet","Online medical support platform",Gurugram,"BlackJag Partners","Seed Funding",200000,Other
09/06/2016,EPayLater,Technology,"Fin Tech Platform",Mumbai,"3 undisclosed HNIs","Seed Funding",2000000,Technology
10/06/2016,Paytunes,"Consumer Internet","Mobile based rewards platform",Delhi,"CIO Angel Network, Indian Angel Network",Equity,500000,Other
13/06/2016,BombayShirtCompany,eCommerce,"Online custom Shirt retailer",Mumbai,"undisclosed investor",Equity,1000000,E-Commerce
13/06/2016,Matrubharti,"Consumer Internet","e Book Publisher",,"Viridian Capital","Seed Funding",30000,Other
14/06/2016,Jivox,Technology,"Data Driven Advertising platform",Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Equity,6000000,Technology
14/06/2016,Sminq,"Consumer Internet","Queue management Mobile app",Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar","Seed Funding",1000000,Other
14/06/2016,CureJoy,"Consumer Internet","Online Alternative health community platform",Bangalore,"Accel Partners India",Equity,4400000,Other
15/06/2016,Oneway.cab,"Consumer Internet","Taxi Rental Platform",Vadodara,"Indian Angel Network","Seed Funding",450000,Other
16/06/2016,DiroLabs,"Consumer Internet","Contact Management Mobile App",Delhi,"Info Edge (India) Ltd",Equity,450000,Other
16/06/2016,UnnatiHelpers,"Consumer Internet","Help Hiring Platform",Gurugram,"Info Edge (India) Ltd",Equity,600000,Other
16/06/2016,Voonik,eCommerce,"Online Womens Fashion Marketplace",Bangalore,"Sequoia Capital",Equity,20000000,E-Commerce
17/06/2016,Cleartax,"Consumer Internet","Online Tax Filing Platform",Delhi,"Ravi Adusumalli, SAIF Partners",Equity,12000000,Other
17/06/2016,SilvanInnovationLabs,Technology,"Home Automation Solutions",Bangalore,"Infuse Ventures",Equity,900000,Technology
17/06/2016,GreytHR,Technology,"Payroll & HR Software Developer",Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Equity,5200000,Technology
21/06/2016,Onspoon,"Consumer Internet","Online Platform for Event Sponsorship",Mumbai,"Swan Angel Network","Seed Funding",150000,Other
21/06/2016,Celerix,Technology,"Fintech Product Development & Services Startup",Bangalore,"Bitkemy Ventures","Seed Funding",400000,Technology
21/06/2016,NatureNama,"Consumer Internet","Online Outdoors & travel",Mumbai,"Unicorn Venture","Seed Funding",225000,Other
21/06/2016,SyonaCosmetics,FMCG,"Beauty Products & Training to Salons & Spas",Chennai,"The Chennai Angels","Seed Funding",150000,Other
21/06/2016,PrettySecrets,eCommerce,"Women Lingerie Store",Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Equity,6000000,E-Commerce
22/06/2016,SpiderG,"Consumer Internet","Online invoice app for SMEs",Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi","Seed Funding",150000,Other
23/06/2016,FarEye,Technology,"Logistics Management Software",Delhi,"Saif Partners",Equity,3500000,Technology
23/06/2016,TheUolo,"Consumer Internet","School Parent Communication App",Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora","Seed Funding",210000,Other
24/06/2016,Drivify,"Consumer Internet","Professional Driver discovery & Booking Mobile app",Mumbai,"Jitendra Gupta, Pankaj Tripathi","Seed Funding",50000,Other
24/06/2016,ParaBlu,Technology,"Cloud Data Security & Privacy Solutions",Bangalore,"Kalaari Capital","Seed Funding",500000,Technology
24/06/2016,SchedulersLogistics,Logistics,"Cold Storage Logistics solutions",Mumbai,GVFL,Equity,6000000,"Transportation and Logistics"
24/06/2016,LEAPIndia,Others,"Supply Chain Equipment & Services provider",Mumbai,"Mayfield Ventures",Equity,3000000,Other
24/06/2016,KabadiExpress,Others,"Free Door Step Scrap Pickup Service",Delhi,"Undisclosed investor","Seed Funding",148000,Other
27/06/2016,YourDost,"Consumer Internet","Online counselling & Personal coaching platform",Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia","Seed Funding",1200000,Other
27/06/2016,Gomalon,"Consumer Internet","Online Spa & Salon discovery & Booking platform",Bangalore,"Undisclosed investor","Seed Funding",100000,Other
27/06/2016,Travelyaari,"Consumer Internet","Online ticket booking platform",Bangalore,"GVFL Ltd",Equity,3000000,Other
28/06/2016,FabHotels,"Consumer Internet","Online Hotel aggregator & Booking platform",Gurugram,"Accel Partners, RB Investments",Equity,8000000,Other
28/06/2016,Locanix,Technology,"GPS based SaaS Solutions",Ahemdabad,"Undisclosed investors","Seed Funding",300000,Technology
28/06/2016,LendingKart,"Consumer Internet","Online Working Capital Business Loans Platform",Ahemdabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Equity,32000000,Other
28/06/2016,HelloTax,"Consumer Internet","Online Tax Filing Platform",Delhi,"Sanjeev Sinha","Seed Funding",295000,Other
29/06/2016,LetReach,eCommerce,"ECommerce SAAS Solutions",Delhi,vCommission,Equity,100000,E-Commerce
29/06/2016,TrendieApp,Technology,"Visual Content Marketing",Kolkata,"Harsh Vardhan Hada","Seed Funding",50000,Technology
29/06/2016,Velvetcase,eCommerce,"Online designer jewellery marketplace",Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Equity,1500000,E-Commerce
30/06/2016,MeruCabs,"Consumer Internet","Online/ Mobile Tax Cab booking",Mumbai,"Brand Capital",Equity,25000000,Other
30/06/2016,CampusDiaries,"Consumer Internet","Student focussed Content Discovery portal",Bangalore,"Aarin Capital","Seed Funding",220000,Other
30/06/2016,BiryaniBlues,"Food & Beverage","QSR Chain",Gurugram,"Carpediem Capital & Others",Equity,368000,"Food and Beverages"
01/05/2016,GetMyParking,Technology,"Parking Technology Platform",Delhi,"The Chennai Angels","Seed Funding",376000,Technology
